company_name,ric_code,esg_score,environment_scores,social_scores,governance_scores,ranks,total_industries
Kimball Electronics Inc,KE.O,55,37,82,29,81,232
Importadora y Exportadora de la Patagonia SA,PATA.BA,15,7,20,14,138,151
Sociedad Comercial del Plata SA,COME.BA,13,0,12,35,360,410
Unipar Indupa SAIC,INDU.BA,14,1,2,56,306,326
Molinos Juan Semino SA,SEMI.BA,11,10,8,16,351,375
Ledesma SAAI,LEDE.BA,46,56,45,35,194,375
Holcim Argentina SA,HARG.BA,67,59,79,63,17,85
Aluar Aluminio Argentino SAIC,ALUA.BA,20,20,28,6,422,555
Garovaglio y Zorraquin SA,GARO.BA,4,4,1,11,373,375
Molinos Rio de la Plata SA,MOLI.BA,65,59,79,48,89,375
Ferrum SA de Ceramica y Metalurgia,FERR.BA,27,21,21,43,121,157
Banco Bbva Argentina SA,BBAR.BA,74,64,72,81,88,996
Central Puerto SA,CEPU.BA,47,43,37,67,131,263
Compania de Transporte de Energia Electrica en Alta Tension Transener SA,TRAN.BA,32,33,28,35,204,263
Telecom Argentina SA,TECO2.BA,67,63,75,53,50,263
YPF SA,YPFD.BA,64,50,61,88,68,410
Banco Patagonia SA,BPAT.BA,44,27,54,38,432,996
Celulosa Argentina SA,CELU5.BA,6,9,4,4,74,74
Capex SA,CAPX.BA,29,23,11,64,218,263
Ternium Argentina SA,TXAR.BA,44,34,40,64,264,555
Carboclor SA,CARC.BA,15,4,16,31,301,326
Naturgy BAN SA,GBAN.BA,80,82,71,92,1,57
Cresud SACIF y A,CRES.BA,44,55,20,72,210,375
Agrometal SAI,AGRO.BA,15,1,2,49,518,554
SA San Miguel AGICI y F,SAMI.BA,60,46,64,67,116,375
Boldt SA,BOLT.BA,15,11,18,15,403,443
Dycasa SA,DYCA.BA,22,15,25,28,196,224
Carlos Casado SA,CADO.BA,29,7,35,44,272,375
Banco Hipotecario SA,BHIP.BA,65,18,83,58,160,996
Banco Macro SA,BMA.BA,55,55,63,45,254,996
Grupo Financiero Galicia SA,GGAL.BA,66,81,80,41,149,996
Enel Generacion Costanera SA,CECO2.BA,67,59,79,64,54,263
Grupo Clarin SA,GCLA.BA,52,37,55,53,64,256
Mirgor SACIFIA,MIRG.BA,10,5,17,1,104,110
MetroGAS SA,METR.BA,43,28,38,74,32,57
Empresa Distribuidora y Comercializadora Norte SA,EDN.BA,46,29,41,81,139,263
Distribuidora de Gas Cuyana SA,DGCU2.BA,13,5,9,30,54,57
Morixe Hermanos SACI,MORI.BA,6,0,6,14,367,375
Grupo Concesionario del Oeste SA,OEST.BA,42,22,55,42,63,100
Mercadolibre Inc,MELI.O,54,63,77,31,191,813
Transportadora de Gas del Sur SA,TGSU2.BA,59,46,68,62,95,410
Longvie SA,LONG.BA,20,40,1,22,59,71
Pampa Energia SA,PAMP.BA,59,46,52,91,81,263
Commonwealth Bank of Australia,CBA.AX,87,82,87,90,11,996
Camuzzi Gas Pampeana SA,CGPA2.BA,11,3,15,17,55,57
Brickworks Ltd,BKW.AX,51,43,52,63,38,85
Bank of Queensland Ltd,BOQ.AX,74,69,67,85,91,996
Transportadora de Gas del Norte SA,TGNO2.BA,47,35,45,66,102,219
GUD Holdings Ltd,GUD.AX,27,7,30,50,183,231
Harvey Norman Holdings Ltd,HVN.AX,37,12,40,56,70,111
Hills Ltd,HIL.AX,44,30,34,67,187,443
Macmahon Holdings Ltd,MAH.AX,49,46,51,49,232,555
Premier Investments Ltd,PMV.AX,42,5,45,57,146,266
Perpetual Ltd,PPT.AX,75,68,68,82,30,375
Washington H Soul Pattinson and Company Ltd,SOL.AX,34,4,34,76,31,55
Suncorp Group Ltd,SUN.AX,80,80,80,80,11,305
Village Roadshow Ltd,VRL.AX,44,35,33,69,150,322
Reject Shop Ltd,TRS.AX,46,20,55,59,55,111
Iluka Resources Ltd,ILU.AX,68,57,65,88,100,555
Infomedia Ltd,IFM.AX,50,2,48,66,234,813
Focus Minerals Ltd,FML.AX,18,9,12,40,445,555
Iress Ltd,IRE.AX,57,46,68,51,7,34
Metals X Ltd,MLX.AX,11,0,13,23,509,555
Bionomics Ltd,BNO.AX,27,0,49,25,313,538
Collection House Ltd,CLH.AX,55,0,58,72,256,996
Elders Ltd,ELD.AX,50,35,45,75,166,375
Pendal Group Ltd,PDL.AX,66,64,61,71,56,375
Arafura Resources Ltd,ARU.AX,15,4,15,29,477,555
Clinuvel Pharmaceuticals Ltd,CUV.AX,34,0,46,42,187,376
Bellevue Gold Ltd,BGL.AX,18,2,25,28,446,555
Phoslock Environmental Technologies Ltd,PET.AX,29,33,19,38,430,558
Domino's Pizza Enterprises Ltd,DMP.AX,71,50,78,80,41,322
Hansen Technologies Ltd,HSN.AX,23,0,40,15,665,813
Navigator Global Investments Ltd,NGI.AX,31,0,42,30,268,375
Aurelia Metals Ltd,AMI.AX,31,19,31,50,333,555
Slater & Gordon Ltd,SGH.AX,20,5,30,16,370,443
MC Mining Ltd,MCM.AX,42,41,46,40,24,55
Woolworths Group Ltd,WOW.AX,71,66,89,47,24,151
AMP Ltd,AMP.AX,64,83,59,63,61,375
Orica Ltd,ORI.AX,52,50,54,51,137,326
Australia and New Zealand Banking Group Ltd,ANZ.AX,88,65,90,93,6,996
McPherson's Ltd,MCP.AX,16,0,12,39,85,94
LendLease Group,LLC.AX,75,89,80,58,27,400
Senex Energy Ltd,SXY.AX,41,33,34,64,179,410
Origin Energy Ltd,ORG.AX,65,54,64,86,59,263
Westpac Banking Corp,WBC.AX,74,81,79,65,86,996
Magnis Energy Technologies Ltd,MNS.AX,14,5,17,19,485,555
Brambles Ltd,BXB.AX,70,64,66,86,13,64
Jupiter Mines Ltd,JMS.AX,9,5,14,6,527,555
Omni Bridgeway Ltd,OBL.AX,35,8,37,42,599,996
Mcmillan Shakespeare Ltd,MMS.AX,53,20,59,56,280,996
Blackmores Ltd,BKL.AX,84,85,92,69,10,375
Alumina Ltd,AWC.AX,35,28,45,30,311,555
Seven West Media Ltd,SWM.AX,41,19,50,38,113,256
Ovato Ltd,OVT.AX,35,34,36,36,256,443
Ridley Corporation Ltd,RIC.AX,44,25,36,79,205,375
Sims Ltd,SGM.AX,70,67,59,91,90,555
St Barbara Ltd,SBM.AX,65,65,72,53,120,555
REA Group Ltd,REA.AX,44,44,63,27,323,813
Pro Medicus Ltd,PME.AX,30,41,30,26,201,329
Cyclone Metals Ltd,CLE.AX,17,5,20,30,453,555
White Energy Company Ltd,WEC.AX,27,15,29,42,40,55
Starpharma Holdings Ltd,SPL.AX,49,34,60,44,124,376
Nearmap Ltd,NEA.AX,31,32,35,27,529,813
Western Areas Ltd,WSA.AX,47,34,42,74,239,555
Pilbara Minerals Ltd,PLS.AX,40,31,37,59,282,555
Danakali Ltd,DNK.AX,20,10,26,27,286,326
Tassal Group Ltd,TGR.AX,67,45,71,85,72,375
Decmil Group Ltd,DCG.AX,31,29,35,30,163,224
FAR Ltd,FAR.AX,26,18,37,18,255,410
HT&E Ltd,HT1.AX,48,9,48,61,90,256
Rex Minerals Ltd,RXM.AX,19,19,11,34,428,555
CSL Ltd,CSL.AX,78,39,92,86,20,376
Greenland Minerals Ltd,GGG.AX,8,0,9,17,535,555
Dexus,DXS.AX,92,93,96,87,1,452
Accent Group Ltd,AX1.AX,48,10,64,49,118,266
Siv Capital Ltd,SIV.AX,13,0,18,16,414,443
Prime Media Group Ltd,PRT.AX,44,0,41,62,104,256
Rio Tinto Ltd,RIO.AX,81,78,91,68,24,555
Coca-Cola Amatil Ltd,CCL.AX,72,70,80,57,22,112
Charter Hall Retail REIT,CQR.AX,46,55,69,15,206,452
Bendigo and Adelaide Bank Ltd,BEN.AX,58,80,56,52,230,996
Tap Oil Ltd,TAP.AX,16,7,10,38,346,410
Cochlear Ltd,COH.AX,59,37,72,52,72,329
CSR Ltd,CSR.AX,53,62,49,42,34,85
Sonic Healthcare Ltd,SHL.AX,73,81,74,67,16,181
Ansell Ltd,ANN.AX,76,46,75,91,22,329
BHP Group Ltd,BHP.AX,87,81,87,97,3,555
Australian Ethical Investment Ltd,AEF.AX,60,69,73,46,85,375
Emeco Holdings Ltd,EHL.AX,28,27,39,14,321,443
Berkeley Energia Ltd,BKY.AX,34,54,33,7,9,15
ALS Ltd,ALQ.AX,76,59,78,86,32,443
Alkane Resources Ltd,ALK.AX,27,30,23,30,353,555
Telstra Corporation Ltd,TLS.AX,83,68,88,83,6,263
Carnarvon Petroleum Ltd,CVN.AX,23,5,18,55,283,410
Select Harvests Ltd,SHV.AX,49,43,54,48,176,375
Energy World Corporation Ltd,EWC.AX,5,3,2,11,261,263
Immutep Ltd,IMM.AX,27,0,60,16,311,538
Molopo Energy Ltd,MPO.AX,12,0,17,19,372,410
Mount Gibson Iron Ltd,MGX.AX,41,35,43,47,279,555
Whitehaven Coal Ltd,WHC.AX,51,33,48,79,17,55
OceanaGold Corp,OGC.AX,65,54,74,66,118,555
Jumbo Interactive Ltd,JIN.AX,38,24,42,45,183,322
Credit Corp Group Ltd,CCP.AX,55,4,60,70,250,996
Silver Lake Resources Ltd,SLR.AX,12,5,12,24,496,555
Pharmaxis Ltd,PXS.AX,39,0,60,37,174,376
GPT Group,GPT.AX,84,90,79,81,16,452
Panoramic Resources Ltd,PAN.AX,19,9,23,26,437,555
Ampol Ltd,ALD.AX,71,60,74,83,35,410
A2B Australia Ltd,A2B.AX,34,17,41,43,79,114
Santos Ltd,STO.AX,44,52,41,40,159,410
Pure Foods Tasmania Ltd,PFT.AX,8,0,11,11,363,375
Boral Ltd,BLD.AX,68,73,71,57,11,85
Insurance Australia Group Ltd,IAG.AX,78,41,84,84,17,305
Reckon Ltd,RKN.AX,25,0,19,37,627,813
OM Holdings Ltd,OMH.AX,23,0,30,45,390,555
Adbri Ltd,ABC.AX,50,53,39,63,39,85
Alterity Therapeutics Ltd,ATH.AX,31,0,58,27,242,538
Nanosonics Ltd,NAN.AX,69,42,70,81,42,329
GWA Group Ltd,GWA.AX,52,60,44,55,61,157
Pinnacle Investment Management Group Ltd,PNI.AX,39,2,59,33,221,375
Metcash Ltd,MTS.AX,54,39,47,78,58,151
Integrated Research Ltd,IRI.AX,40,0,50,44,383,813
Tabcorp Holdings Ltd,TAH.AX,71,70,84,53,40,322
Altura Mining Ltd,AJM.AX,9,2,12,19,316,326
Resolute Mining Ltd,RSG.AX,44,42,39,55,256,555
IGO Ltd,IGO.AX,69,69,65,77,92,555
Flinders Mines Ltd,FMS.AX,17,5,15,36,457,555
Australian Agricultural Company Ltd,AAC.AX,33,20,15,77,258,375
Electro Optic Systems Holdings Ltd,EOS.AX,20,0,31,20,97,109
Spark Infrastructure Group,SKI.AX,43,32,43,62,151,263
Cooper Energy Ltd,COE.AX,37,14,27,89,193,410
Ainsworth Game Technology Ltd,AGI.AX,23,6,22,41,251,322
Mortgage Choice Ltd,MOC.AX,44,2,41,65,430,996
Vocus Group Ltd,VOC.AX,39,57,28,48,140,263
Medical Developments International Ltd,MVP.AX,14,0,18,19,354,376
Ramelius Resources Ltd,RMS.AX,35,25,25,68,308,555
Champion Iron Ltd,CIA.TO,66,89,67,32,111,555
Cardno Ltd,CDD.AX,40,38,38,47,126,224
Galaxy Resources Ltd,GXY.AX,50,26,62,64,224,555
Aristocrat Leisure Ltd,ALL.AX,47,45,50,42,140,322
Coles Group Ltd,COL.AX,64,61,88,29,37,151
National Australia Bank Ltd,NAB.AX,87,83,88,87,12,996
Mirvac Group,MGR.AX,89,96,80,88,8,452
Woodside Petroleum Ltd,WPL.AX,71,59,81,70,37,410
Dotz Nano Ltd,DTZ.AX,12,0,21,17,115,120
Northern Star Resources Ltd,NST.AX,63,47,66,83,132,555
Newcrest Mining Ltd,NCM.AX,68,58,70,81,96,555
Seek Ltd,SEK.AX,39,30,29,57,229,443
Wesfarmers Ltd,WES.AX,66,84,92,24,25,111
CIMIC Group Ltd,CIM.AX,64,60,82,45,50,224
Eagers Automotive Ltd,APE.AX,27,8,38,23,224,266
Alexium International Group Ltd,AJX.AX,12,0,17,25,310,326
Oil Search Ltd,OSH.AX,63,42,76,72,71,410
Fortescue Metals Group Ltd,FMG.AX,70,70,86,43,85,555
Blue Star Helium Ltd,BNL.AX,6,0,4,17,321,326
ARB Corp Ltd,ARB.AX,34,34,32,38,161,231
Prodigy Gold NL,PRX.AX,19,8,21,31,434,555
Future Generation Investment Company Ltd,FGX.AX,20,0,22,24,326,375
Perenti Global Ltd,PRN.AX,57,46,60,66,176,555
Australian Pharmaceutical Industries Ltd,API.AX,49,15,49,75,71,151
Austal Ltd,ASB.AX,50,63,30,62,243,554
Beach Energy Ltd,BPT.AX,66,50,74,74,61,410
Horizon Oil Ltd,HZN.AX,13,8,12,24,361,410
Aspen Group Ltd,APZ.AX,27,14,28,37,312,400
Cash Converters International Ltd,CCV.AX,32,0,32,49,200,266
Cedar Woods Properties Ltd,CWP.AX,52,28,73,53,145,400
Opthea Ltd,OPT.AX,27,0,25,46,318,538
Cromwell Property Group,CMW.AX,73,65,76,76,31,400
Computershare Ltd,CPU.AX,65,52,65,70,79,813
Data#3 Ltd,DTL.AX,52,2,51,67,214,813
Downer EDI Ltd,DOW.AX,67,62,56,88,41,224
Flight Centre Travel Group Ltd,FLT.AX,39,52,37,32,174,322
Fleetwood Ltd,FWD.AX,26,1,29,55,125,157
Red 5 Ltd,RED.AX,23,22,23,24,387,555
Grange Resources Ltd,GRR.AX,30,19,24,55,337,555
Graincorp Ltd,GNC.AX,43,48,41,43,211,375
Breville Group Ltd,BRG.AX,49,39,61,44,31,71
Hillgrove Resources Ltd,HGO.AX,23,13,24,37,384,555
Bubs Australia Ltd,BUB.AX,12,2,14,19,344,375
